term,ngram_size,is_phrase,count_real,count_dubious,total_count,in_real,in_dubious,max_real,mean_real,stdev_real,max_dubious,mean_dubious,stdev_dubious,relevance_score
abadi,1,False,30,0,30,True,False,7,2.5,1.893,0,0.0,0.0,1.0
abandon,1,False,12,7,19,True,True,1,1.0,0.0,2,1.4,0.4899,0.2632
abandoned,1,False,7,6,13,True,True,1,1.0,0.0,2,1.2,0.4,0.0769
abandoning,1,False,6,4,10,True,True,1,1.0,0.0,1,1.0,0.0,0.2
abbott,1,False,1,20,21,True,True,1,1.0,0.0,9,5.0,2.7386,0.9048
abc,1,False,14,21,35,True,True,2,1.0769,0.2665,4,1.5,1.0522,0.2
abdel,1,False,11,0,11,True,False,1,1.0,0.0,0,0.0,0.0,1.0
abdul,1,False,6,5,11,True,True,2,1.2,0.4,5,5.0,0.0,0.0909
abdullah,1,False,32,2,34,True,True,4,1.6,0.9165,1,1.0,0.0,0.8824
abe,1,False,88,1,89,True,True,11,2.8387,2.3568,1,1.0,0.0,0.9775
abedi,1,False,15,0,15,True,False,7,5.0,2.1602,0,0.0,0.0,1.0
ability,1,False,51,43,94,True,True,3,1.0625,0.3166,5,1.3871,0.9394,0.0851
able,1,False,110,63,173,True,True,3,1.1111,0.3449,6,1.3125,0.8934,0.2717
aboard,1,False,18,2,20,True,True,2,1.0588,0.2353,1,1.0,0.0,0.8
abortion,1,False,9,31,40,True,True,3,1.5,0.7638,9,2.3846,2.4973,0.55
abroad,1,False,41,8,49,True,True,5,1.2059,0.7585,2,1.1429,0.3499,0.6735
absence,1,False,9,3,12,True,True,1,1.0,0.0,1,1.0,0.0,0.5
absolute,1,False,6,9,15,True,True,2,1.2,0.4,1,1.0,0.0,0.2
absolutely,1,False,21,40,61,True,True,1,1.0,0.0,2,1.0811,0.273,0.3115
abu,1,False,14,0,14,True,False,2,1.1667,0.3727,0,0.0,0.0,1.0
abuse,1,False,27,21,48,True,True,6,1.5,1.3017,5,1.5,1.0522,0.125
abused,1,False,9,6,15,True,True,1,1.0,0.0,3,1.5,0.866,0.2
abuses,1,False,26,3,29,True,True,5,1.4444,0.9558,2,1.5,0.5,0.7931
aca,1,False,4,7,11,True,True,3,2.0,1.0,3,1.4,0.8,0.2727
academic,1,False,10,10,20,True,True,2,1.1111,0.3143,3,1.25,0.6614,0.0
accept,1,False,59,20,79,True,True,2,1.2292,0.4203,3,1.25,0.559,0.4937
acceptable,1,False,7,9,16,True,True,2,1.1667,0.3727,2,1.125,0.3307,0.125
accepted,1,False,35,13,48,True,True,2,1.129,0.3352,1,1.0,0.0,0.4583
accepting,1,False,13,8,21,True,True,1,1.0,0.0,1,1.0,0.0,0.2381
access,1,False,104,47,151,True,True,6,1.4247,0.9497,5,1.4242,0.8539,0.3775
accident,1,False,16,2,18,True,True,4,2.0,1.0,1,1.0,0.0,0.7778
accompanied,1,False,12,3,15,True,True,2,1.0909,0.2875,2,1.5,0.5,0.6
accomplish,1,False,5,6,11,True,True,1,1.0,0.0,1,1.0,0.0,0.0909
accord,1,False,58,8,66,True,True,12,1.5263,1.8601,4,2.0,1.2247,0.7576
accordance,1,False,10,0,10,True,False,3,1.25,0.6614,0,0.0,0.0,1.0
according,1,False,379,156,535,True,True,16,1.4142,1.1766,11,1.4717,1.1672,0.4168
account,1,False,45,47,92,True,True,4,1.1538,0.5329,4,1.4688,0.8286,0.0217
accountability,1,False,11,9,20,True,True,2,1.1,0.3,4,1.5,1.118,0.1
accountable,1,False,17,12,29,True,True,1,1.0,0.0,1,1.0,0.0,0.1724
accounting,1,False,8,2,10,True,True,2,1.1429,0.3499,1,1.0,0.0,0.6
accounts,1,False,56,17,73,True,True,3,1.2174,0.507,2,1.1333,0.3399,0.5342
accuracy,1,False,14,3,17,True,True,1,1.0,0.0,1,1.0,0.0,0.6471
accurate,1,False,8,8,16,True,True,1,1.0,0.0,1,1.0,0.0,0.0
accusation,1,False,10,8,18,True,True,2,1.1111,0.3143,2,1.1429,0.3499,0.1111
accusations,1,False,59,16,75,True,True,3,1.2292,0.5099,3,1.3333,0.7454,0.5733
accuse,1,False,22,13,35,True,True,1,1.0,0.0,2,1.1818,0.3857,0.2571
accused,1,False,180,48,228,True,True,5,1.2162,0.5139,4,1.2973,0.7302,0.5789
accuses,1,False,14,3,17,True,True,1,1.0,0.0,1,1.0,0.0,0.6471
accusing,1,False,40,8,48,True,True,2,1.1429,0.3499,2,1.1429,0.3499,0.6667
achieve,1,False,27,15,42,True,True,2,1.0385,0.1923,2,1.1538,0.3608,0.2857
achieved,1,False,12,5,17,True,True,1,1.0,0.0,1,1.0,0.0,0.4118
achievement,1,False,14,3,17,True,True,1,1.0,0.0,1,1.0,0.0,0.6471
achievements,1,False,9,2,11,True,True,4,1.5,1.118,1,1.0,0.0,0.6364
achieving,1,False,9,2,11,True,True,2,1.125,0.3307,1,1.0,0.0,0.6364
acknowledge,1,False,6,5,11,True,True,1,1.0,0.0,1,1.0,0.0,0.0909
acknowledged,1,False,38,7,45,True,True,2,1.0556,0.2291,2,1.1667,0.3727,0.6889
acosta,1,False,19,7,26,True,True,11,4.75,3.7666,1,1.0,0.0,0.4615
acr,1,False,0,16,16,False,True,0,0.0,0.0,5,4.0,1.2247,1.0
act,1,False,153,122,275,True,True,4,1.2339,0.5404,4,1.5641,0.9,0.1127
acted,1,False,14,7,21,True,True,1,1.0,0.0,1,1.0,0.0,0.3333
acting,1,False,54,21,75,True,True,3,1.2558,0.5744,2,1.1053,0.3069,0.44
action,1,False,169,66,235,True,True,5,1.2519,0.6173,5,1.4043,0.9146,0.4383
actions,1,False,85,53,138,True,True,3,1.1644,0.4059,4,1.359,0.7675,0.2319
active,1,False,21,27,48,True,True,3,1.1053,0.4466,17,3.0,4.9666,0.125
actively,1,False,17,6,23,True,True,2,1.0625,0.2421,1,1.0,0.0,0.4783
activist,1,False,38,28,66,True,True,7,1.3571,1.1406,2,1.12,0.325,0.1515
activists,1,False,75,17,92,True,True,9,1.5957,1.6715,3,1.3077,0.6057,0.6304
activities,1,False,45,24,69,True,True,3,1.25,0.5951,3,1.2632,0.6359,0.3043
activity,1,False,40,15,55,True,True,4,1.1429,0.5421,2,1.0714,0.2575,0.4545
actor,1,False,5,14,19,True,True,1,1.0,0.0,6,2.3333,1.6997,0.4737
actors,1,False,10,12,22,True,True,1,1.0,0.0,3,1.7143,0.6999,0.0909
acts,1,False,37,15,52,True,True,3,1.2759,0.5811,3,1.1538,0.5329,0.4231
actual,1,False,8,31,39,True,True,2,1.1429,0.3499,4,1.1481,0.5903,0.5897
actually,1,False,27,137,164,True,True,2,1.0385,0.1923,3,1.2455,0.4707,0.6707
ad,1,False,16,12,28,True,True,6,1.4545,1.4374,6,2.0,1.8257,0.1429
adam,1,False,25,15,40,True,True,3,1.1905,0.4994,2,1.3636,0.481,0.25
add,1,False,26,22,48,True,True,1,1.0,0.0,1,1.0,0.0,0.0833
added,1,False,220,52,272,True,True,4,1.1055,0.3529,2,1.0612,0.2397,0.6176
adding,1,False,138,22,160,True,True,3,1.0866,0.308,2,1.0476,0.213,0.725
addition,1,False,29,25,54,True,True,2,1.0741,0.2619,2,1.1364,0.3432,0.0741
additional,1,False,54,13,67,True,True,3,1.1739,0.4326,3,1.1818,0.575,0.6119
additionally,1,False,1,11,12,True,True,1,1.0,0.0,4,1.5714,1.0498,0.8333
address,1,False,86,36,122,True,True,3,1.1026,0.3431,4,1.44,0.898,0.4098
addressed,1,False,22,9,31,True,True,2,1.0476,0.213,2,1.125,0.3307,0.4194
addresses,1,False,10,7,17,True,True,2,1.1111,0.3143,1,1.0,0.0,0.1765
addressing,1,False,13,8,21,True,True,2,1.0833,0.2764,1,1.0,0.0,0.2381
adds,1,False,9,3,12,True,True,2,1.125,0.3307,1,1.0,0.0,0.5
adjustment,1,False,11,1,12,True,True,3,1.5714,0.7284,1,1.0,0.0,0.8333
administration,1,False,551,215,766,True,True,13,1.9609,1.5402,9,1.6929,1.2644,0.4386
administrations,1,False,11,2,13,True,True,1,1.0,0.0,1,1.0,0.0,0.6923
administrative,1,False,16,0,16,True,False,4,1.3333,0.8498,0,0.0,0.0,1.0
administrator,1,False,17,3,20,True,True,2,1.4167,0.493,1,1.0,0.0,0.7
admiral,1,False,11,3,14,True,True,1,1.0,0.0,1,1.0,0.0,0.5714
admission,1,False,7,11,18,True,True,1,1.0,0.0,2,1.1,0.3,0.2222
admit,1,False,0,12,12,False,True,0,0.0,0.0,2,1.0909,0.2875,1.0
admits,1,False,1,10,11,True,True,1,1.0,0.0,3,1.25,0.6614,0.8182
admitted,1,False,15,20,35,True,True,2,1.0714,0.2575,2,1.0526,0.2233,0.1429
admitting,1,False,5,7,12,True,True,1,1.0,0.0,1,1.0,0.0,0.1667
adopt,1,False,12,1,13,True,True,2,1.0909,0.2875,1,1.0,0.0,0.8462
adopted,1,False,22,4,26,True,True,2,1.0476,0.213,1,1.0,0.0,0.6923
ads,1,False,19,7,26,True,True,6,1.9,1.5133,3,2.3333,0.4714,0.4615
adult,1,False,6,6,12,True,True,1,1.0,0.0,2,1.2,0.4,0.0
