term,ngram_size,is_phrase,count_real,count_dubious,total_count,in_real,in_dubious,max_real,mean_real,stdev_real,max_dubious,mean_dubious,stdev_dubious,relevance_score
abandon,1,False,7,8,15,True,True,2,1.1667,0.3727,2,1.1429,0.3499,0.0667
abbott,1,False,4,9,13,True,True,3,2.0,1.0,4,3.0,1.4142,0.3846
abc,1,False,20,38,58,True,True,3,1.3333,0.5963,3,1.52,0.6997,0.3103
abedin,1,False,0,20,20,False,True,0,0.0,0.0,6,2.5,1.6583,1.0
abide,1,False,3,7,10,True,True,1,1.0,0.0,2,1.4,0.4899,0.4
ability,1,False,24,27,51,True,True,5,1.3333,0.9428,3,1.125,0.439,0.0588
able,1,False,53,99,152,True,True,3,1.2045,0.4562,3,1.125,0.3635,0.3026
abortion,1,False,24,43,67,True,True,4,2.1818,1.1134,11,2.8667,2.7293,0.2836
abroad,1,False,20,11,31,True,True,2,1.1765,0.3812,1,1.0,0.0,0.2903
absence,1,False,1,10,11,True,True,1,1.0,0.0,1,1.0,0.0,0.8182
absentee,1,False,1,11,12,True,True,1,1.0,0.0,9,3.6667,3.7712,0.8333
absolute,1,False,4,17,21,True,True,1,1.0,0.0,2,1.0625,0.2421,0.619
absolutely,1,False,10,91,101,True,True,2,1.1111,0.3143,3,1.0341,0.2359,0.802
abstinence,1,False,0,11,11,False,True,0,0.0,0.0,8,3.6667,3.0912,1.0
absurd,1,False,5,9,14,True,True,1,1.0,0.0,1,1.0,0.0,0.2857
abuse,1,False,14,35,49,True,True,3,1.5556,0.6849,6,1.5909,1.4352,0.4286
abused,1,False,2,13,15,True,True,1,1.0,0.0,2,1.1818,0.3857,0.7333
abuses,1,False,6,6,12,True,True,2,1.2,0.4,2,1.2,0.4,0.0
academy,1,False,2,11,13,True,True,1,1.0,0.0,8,2.75,3.0311,0.6923
accept,1,False,21,21,42,True,True,3,1.1053,0.4466,2,1.05,0.2179,0.0
acceptance,1,False,4,6,10,True,True,1,1.0,0.0,1,1.0,0.0,0.2
accepted,1,False,5,12,17,True,True,1,1.0,0.0,2,1.0909,0.2875,0.4118
accepting,1,False,7,7,14,True,True,2,1.1667,0.3727,1,1.0,0.0,0.0
access,1,False,48,67,115,True,True,3,1.2973,0.563,9,1.7632,1.58,0.1652
accord,1,False,18,0,18,True,False,8,2.0,2.2111,0,0.0,0.0,1.0
according,1,False,220,206,426,True,True,6,1.6058,1.0558,7,1.461,1.035,0.0329
account,1,False,14,53,67,True,True,1,1.0,0.0,4,1.3947,0.7793,0.5821
accountability,1,False,6,7,13,True,True,1,1.0,0.0,1,1.0,0.0,0.0769
accountable,1,False,6,14,20,True,True,1,1.0,0.0,2,1.0769,0.2665,0.4
accounts,1,False,46,18,64,True,True,21,3.2857,5.2431,3,1.125,0.4841,0.4375
accusation,1,False,1,9,10,True,True,1,1.0,0.0,2,1.125,0.3307,0.8
accusations,1,False,14,25,39,True,True,4,1.2727,0.8624,4,1.3158,0.7293,0.2821
accuse,1,False,3,10,13,True,True,1,1.0,0.0,2,1.1111,0.3143,0.5385
accused,1,False,43,51,94,True,True,3,1.1622,0.4358,3,1.1591,0.4234,0.0851
accusing,1,False,9,25,34,True,True,1,1.0,0.0,2,1.087,0.2818,0.4706
achieve,1,False,5,7,12,True,True,1,1.0,0.0,1,1.0,0.0,0.1667
achieving,1,False,2,8,10,True,True,1,1.0,0.0,1,1.0,0.0,0.6
acknowledge,1,False,3,10,13,True,True,1,1.0,0.0,1,1.0,0.0,0.5385
acknowledged,1,False,20,16,36,True,True,1,1.0,0.0,2,1.1429,0.3499,0.1111
acr,1,False,0,13,13,False,True,0,0.0,0.0,3,2.6,0.8,1.0
act,1,False,70,108,178,True,True,4,1.3462,0.6166,4,1.3846,0.7202,0.2135
acted,1,False,3,10,13,True,True,1,1.0,0.0,2,1.1111,0.3143,0.5385
acting,1,False,7,19,26,True,True,2,1.1667,0.3727,2,1.1176,0.3222,0.4615
action,1,False,65,64,129,True,True,3,1.383,0.6701,5,1.3061,0.7614,0.0078
actions,1,False,33,48,81,True,True,3,1.1786,0.467,4,1.2,0.5568,0.1852
active,1,False,21,28,49,True,True,17,4.2,6.4,11,2.8,3.4293,0.1429
actively,1,False,7,7,14,True,True,2,1.1667,0.3727,2,1.1667,0.3727,0.0
activist,1,False,12,24,36,True,True,2,1.0909,0.2875,2,1.1429,0.3499,0.3333
activists,1,False,20,15,35,True,True,2,1.1765,0.3812,3,1.1538,0.5329,0.1429
activities,1,False,8,15,23,True,True,3,1.3333,0.7454,4,1.5,0.922,0.3043
activity,1,False,11,20,31,True,True,2,1.1,0.3,2,1.1111,0.3143,0.2903
actors,1,False,3,9,12,True,True,2,1.5,0.5,2,1.125,0.3307,0.5
acts,1,False,1,14,15,True,True,1,1.0,0.0,1,1.0,0.0,0.8667
actual,1,False,5,38,43,True,True,1,1.0,0.0,3,1.2258,0.5512,0.7674
actually,1,False,17,231,248,True,True,1,1.0,0.0,6,1.4438,0.8642,0.8629
ad,1,False,13,40,53,True,True,7,2.6,2.245,5,2.1053,1.2094,0.5094
adam,1,False,5,9,14,True,True,1,1.0,0.0,2,1.125,0.3307,0.2857
adams,1,False,3,7,10,True,True,2,1.5,0.5,4,1.75,1.299,0.4
add,1,False,13,21,34,True,True,1,1.0,0.0,2,1.05,0.2179,0.2353
added,1,False,74,46,120,True,True,4,1.1562,0.5068,4,1.2105,0.5693,0.2333
adding,1,False,25,32,57,True,True,2,1.087,0.2818,2,1.0323,0.1767,0.1228
addition,1,False,9,39,48,True,True,2,1.125,0.3307,3,1.1143,0.398,0.625
additional,1,False,39,29,68,True,True,4,1.2581,0.7606,3,1.2083,0.5758,0.1471
additionally,1,False,2,8,10,True,True,1,1.0,0.0,3,1.6,0.8,0.6
address,1,False,48,47,95,True,True,4,1.2308,0.6186,11,1.6207,1.883,0.0105
addressed,1,False,8,11,19,True,True,2,1.1429,0.3499,2,1.1,0.3,0.1579
addressing,1,False,12,8,20,True,True,2,1.0909,0.2875,2,1.1429,0.3499,0.2
adds,1,False,22,7,29,True,True,17,3.6667,5.9628,1,1.0,0.0,0.5172
adjustability,1,False,12,0,12,True,False,9,6.0,3.0,0,0.0,0.0,1.0
administration,1,False,199,84,283,True,True,7,1.7768,1.178,4,1.4483,0.7468,0.4064
administrative,1,False,5,5,10,True,True,1,1.0,0.0,1,1.0,0.0,0.0
admit,1,False,4,22,26,True,True,2,1.3333,0.4714,2,1.0476,0.213,0.6923
admits,1,False,3,9,12,True,True,1,1.0,0.0,1,1.0,0.0,0.5
admitted,1,False,6,46,52,True,True,2,1.2,0.4,2,1.15,0.3571,0.7692
admitting,1,False,0,10,10,False,True,0,0.0,0.0,1,1.0,0.0,1.0
adopt,1,False,6,10,16,True,True,1,1.0,0.0,3,1.25,0.6614,0.25
ads,1,False,14,8,22,True,True,8,2.8,2.7129,2,1.3333,0.4714,0.2727
adult,1,False,1,10,11,True,True,1,1.0,0.0,3,1.4286,0.7284,0.8182
adults,1,False,12,12,24,True,True,2,1.2,0.4,3,1.5,0.7071,0.0
advance,1,False,9,12,21,True,True,1,1.0,0.0,1,1.0,0.0,0.1429
advanced,1,False,5,7,12,True,True,1,1.0,0.0,1,1.0,0.0,0.1667
advances,1,False,11,4,15,True,True,2,1.2222,0.4157,1,1.0,0.0,0.4667
advantage,1,False,24,36,60,True,True,3,1.1429,0.4666,5,1.2414,0.7726,0.2
advertising,1,False,13,8,21,True,True,3,1.625,0.857,1,1.0,0.0,0.2381
advice,1,False,11,22,33,True,True,3,1.375,0.696,3,1.375,0.5995,0.3333
advised,1,False,4,6,10,True,True,1,1.0,0.0,1,1.0,0.0,0.2
adviser,1,False,54,15,69,True,True,3,1.3846,0.6647,2,1.1538,0.3608,0.5652
advisers,1,False,19,6,25,True,True,2,1.0556,0.2291,1,1.0,0.0,0.52
advisor,1,False,6,9,15,True,True,2,1.2,0.4,2,1.125,0.3307,0.2
advocacy,1,False,19,4,23,True,True,2,1.1875,0.3903,1,1.0,0.0,0.6522
advocate,1,False,12,16,28,True,True,2,1.0909,0.2875,2,1.1429,0.3499,0.1429
advocates,1,False,27,18,45,True,True,5,1.35,0.9097,2,1.0588,0.2353,0.2
aerospace,1,False,7,3,10,True,True,2,1.4,0.4899,2,1.5,0.5,0.4
affair,1,False,7,8,15,True,True,3,1.4,0.8,2,1.1429,0.3499,0.0667
